ProductKey,ProductName,Category,Storage,Color
1,AirPods (2nd Gen),AirPods,No Storage,Midnight
2,AirPods (2nd Gen),AirPods,No Storage,Sky
3,AirPods (2nd Gen),AirPods,No Storage,Starlight
4,AirPods (2nd Gen),AirPods,No Storage,White
5,AirPods (3rd Gen),AirPods,No Storage,Midnight
6,AirPods (3rd Gen),AirPods,No Storage,Sky
7,AirPods (3rd Gen),AirPods,No Storage,Starlight
8,AirPods (3rd Gen),AirPods,No Storage,White
9,AirPods Max,AirPods,No Storage,Midnight
10,AirPods Max,AirPods,No Storage,Sky
11,AirPods Max,AirPods,No Storage,Starlight
12,AirPods Max,AirPods,No Storage,White
13,AirPods Pro (2nd Gen),AirPods,No Storage,Midnight
14,AirPods Pro (2nd Gen),AirPods,No Storage,Sky
15,AirPods Pro (2nd Gen),AirPods,No Storage,Starlight
16,AirPods Pro (2nd Gen),AirPods,No Storage,White
17,Apple Pencil (1st Gen),Accessories,No Storage,Black
18,Apple Pencil (1st Gen),Accessories,No Storage,Silver
19,Apple Pencil (1st Gen),Accessories,No Storage,Space Gray
20,Apple Pencil (1st Gen),Accessories,No Storage,White
21,Apple Pencil (2nd Gen),Accessories,No Storage,Black
22,Apple Pencil (2nd Gen),Accessories,No Storage,Silver
23,Apple Pencil (2nd Gen),Accessories,No Storage,Space Gray
24,Apple Pencil (2nd Gen),Accessories,No Storage,White
25,Apple TV 4K (3rd Gen),Accessories,No Storage,Black
26,Apple TV 4K (3rd Gen),Accessories,No Storage,Silver
27,Apple TV 4K (3rd Gen),Accessories,No Storage,Space Gray
28,Apple TV 4K (3rd Gen),Accessories,No Storage,White
29,Apple Watch SE (2nd Gen),Apple Watch,No Storage,Black Titanium
30,Apple Watch SE (2nd Gen),Apple Watch,No Storage,Midnight
31,Apple Watch SE (2nd Gen),Apple Watch,No Storage,Natural
32,Apple Watch SE (2nd Gen),Apple Watch,No Storage,Product Red
33,Apple Watch SE (2nd Gen),Apple Watch,No Storage,Silver
34,Apple Watch SE (2nd Gen),Apple Watch,No Storage,Starlight
35,Apple Watch SE (2nd Gen),Apple Watch,No Storage,Titanium
36,Apple Watch SE (2nd Gen),Apple Watch,No Storage,Yellow
37,Apple Watch Series 8,Apple Watch,No Storage,Black Titanium
38,Apple Watch Series 8,Apple Watch,No Storage,Midnight
39,Apple Watch Series 8,Apple Watch,No Storage,Natural
40,Apple Watch Series 8,Apple Watch,No Storage,Product Red
41,Apple Watch Series 8,Apple Watch,No Storage,Silver
42,Apple Watch Series 8,Apple Watch,No Storage,Starlight
43,Apple Watch Series 8,Apple Watch,No Storage,Titanium
44,Apple Watch Series 8,Apple Watch,No Storage,Yellow
45,Apple Watch Series 9,Apple Watch,No Storage,Black Titanium
46,Apple Watch Series 9,Apple Watch,No Storage,Midnight
47,Apple Watch Series 9,Apple Watch,No Storage,Natural
48,Apple Watch Series 9,Apple Watch,No Storage,Product Red
49,Apple Watch Series 9,Apple Watch,No Storage,Silver
50,Apple Watch Series 9,Apple Watch,No Storage,Starlight
51,Apple Watch Series 9,Apple Watch,No Storage,Titanium
52,Apple Watch Series 9,Apple Watch,No Storage,Yellow
53,Apple Watch Ultra 2,Apple Watch,No Storage,Black Titanium
54,Apple Watch Ultra 2,Apple Watch,No Storage,Midnight
55,Apple Watch Ultra 2,Apple Watch,No Storage,Natural
56,Apple Watch Ultra 2,Apple Watch,No Storage,Product Red
57,Apple Watch Ultra 2,Apple Watch,No Storage,Silver
58,Apple Watch Ultra 2,Apple Watch,No Storage,Starlight
59,Apple Watch Ultra 2,Apple Watch,No Storage,Titanium
60,Apple Watch Ultra 2,Apple Watch,No Storage,Yellow
61,HomePod (2nd Gen),Accessories,No Storage,Black
62,HomePod (2nd Gen),Accessories,No Storage,Silver
63,HomePod (2nd Gen),Accessories,No Storage,Space Gray
64,HomePod (2nd Gen),Accessories,No Storage,White
65,HomePod mini,Accessories,No Storage,Black
66,HomePod mini,Accessories,No Storage,Silver
67,HomePod mini,Accessories,No Storage,Space Gray
68,HomePod mini,Accessories,No Storage,White
69,iMac 24-inch (M3),Mac,1 TB SSD,Gold
70,iMac 24-inch (M3),Mac,1 TB SSD,Midnight
71,iMac 24-inch (M3),Mac,1 TB SSD,Silver
72,iMac 24-inch (M3),Mac,1 TB SSD,Space Gray
73,iMac 24-inch (M3),Mac,1 TB SSD,Starlight
74,iMac 24-inch (M3),Mac,2 TB SSD,Gold
75,iMac 24-inch (M3),Mac,2 TB SSD,Midnight
76,iMac 24-inch (M3),Mac,2 TB SSD,Silver
77,iMac 24-inch (M3),Mac,2 TB SSD,Space Gray
78,iMac 24-inch (M3),Mac,2 TB SSD,Starlight
79,iMac 24-inch (M3),Mac,256 GB SSD,Gold
80,iMac 24-inch (M3),Mac,256 GB SSD,Midnight
81,iMac 24-inch (M3),Mac,256 GB SSD,Silver
82,iMac 24-inch (M3),Mac,256 GB SSD,Space Gray
83,iMac 24-inch (M3),Mac,256 GB SSD,Starlight
84,iMac 24-inch (M3),Mac,512 GB SSD,Gold
85,iMac 24-inch (M3),Mac,512 GB SSD,Midnight
86,iMac 24-inch (M3),Mac,512 GB SSD,Silver
87,iMac 24-inch (M3),Mac,512 GB SSD,Space Gray
88,iMac 24-inch (M3),Mac,512 GB SSD,Starlight
89,iPad (10th Generation),iPad,1 TB,Blue
90,iPad (10th Generation),iPad,1 TB,Gold
91,iPad (10th Generation),iPad,1 TB,Purple
92,iPad (10th Generation),iPad,1 TB,Silver
93,iPad (10th Generation),iPad,1 TB,Space Gray
94,iPad (10th Generation),iPad,1 TB,Starlight
95,iPad (10th Generation),iPad,128 GB,Blue
96,iPad (10th Generation),iPad,128 GB,Gold
97,iPad (10th Generation),iPad,128 GB,Purple
98,iPad (10th Generation),iPad,128 GB,Silver
99,iPad (10th Generation),iPad,128 GB,Space Gray
100,iPad (10th Generation),iPad,128 GB,Starlight
101,iPad (10th Generation),iPad,2 TB,Blue
102,iPad (10th Generation),iPad,2 TB,Gold
103,iPad (10th Generation),iPad,2 TB,Purple
104,iPad (10th Generation),iPad,2 TB,Silver
105,iPad (10th Generation),iPad,2 TB,Space Gray
106,iPad (10th Generation),iPad,2 TB,Starlight
107,iPad (10th Generation),iPad,256 GB,Blue
108,iPad (10th Generation),iPad,256 GB,Gold
109,iPad (10th Generation),iPad,256 GB,Purple
110,iPad (10th Generation),iPad,256 GB,Silver
111,iPad (10th Generation),iPad,256 GB,Space Gray
112,iPad (10th Generation),iPad,256 GB,Starlight
113,iPad (10th Generation),iPad,512 GB,Blue
114,iPad (10th Generation),iPad,512 GB,Gold
115,iPad (10th Generation),iPad,512 GB,Purple
116,iPad (10th Generation),iPad,512 GB,Silver
