SaleKey,SaleID,DateKey,ProductKey,GeoKey,ChannelKey,CustomerKey,UnitPriceUSD,DiscountPct,UnitsSold,DiscountedPriceUSD,RevenueUSD,Currency,FXRateToUSD,RevenueLocalCurrency,CustomerRating,ReturnStatus
1,APPL-00003873,20220101,1,181,34,91,128.24,0.00,3,128.24,384.72,HKD,7.820000,3008.51,3.90,Kept
2,APPL-00001322,20220101,8,54,23,112,160.32,5.00,1,152.30,152.30,BRL,4.970000,756.93,4.70,Kept
3,APPL-00000505,20220101,199,18,32,105,766.79,0.00,3,766.79,2300.37,AUD,1.530000,3519.57,3.94,Kept
4,APPL-00005180,20220101,338,259,20,66,569.27,0.00,2,569.27,1138.54,KES,129.000000,146871.66,4.00,Kept
5,APPL-00009650,20220101,525,430,14,108,766.33,5.00,2,728.01,1456.02,CHF,0.880000,1281.30,4.60,Kept
6,APPL-00009384,20220101,599,419,40,24,902.65,7.00,1,839.46,839.46,SEK,10.550000,8856.30,4.90,Kept
7,APPL-00004922,20220101,1100,246,18,112,1354.37,0.00,1,1354.37,1354.37,JPY,149.800000,202884.63,4.80,Kept
8,APPL-00003358,20220101,1161,155,5,84,103.14,15.00,1,87.67,87.67,EUR,0.920000,80.66,3.90,Kept
9,APPL-00004741,20220101,1167,236,42,84,132.37,3.00,2,128.40,256.80,EUR,0.920000,236.26,3.50,Kept
10,APPL-00009357,20220102,1174,418,21,70,38.77,10.00,2,34.89,69.78,SEK,10.550000,736.18,3.90,Kept
11,APPL-00004095,20220102,210,202,3,42,815.22,0.00,1,815.22,815.22,INR,83.500000,68070.87,3.50,Kept
12,APPL-00002402,20220102,703,114,13,81,959.89,5.00,1,911.90,911.90,COP,3960.000000,3611124.00,3.60,Kept
13,APPL-00003000,20220102,852,138,36,125,895.44,2.00,1,877.53,877.53,EUR,0.920000,807.33,3.80,Kept
14,APPL-00010737,20220102,60,470,24,133,835.26,0.00,1,835.26,835.26,AED,3.670000,3065.40,4.90,Kept
15,APPL-00004787,20220102,12,238,34,84,507.07,5.00,3,481.72,1445.16,EUR,0.920000,1329.55,3.80,Kept
16,APPL-00008073,20220102,13,371,37,28,231.21,0.00,3,231.21,693.63,RUB,91.500000,63467.14,4.60,Kept
17,APPL-00007001,20220102,21,328,2,112,125.76,0.00,1,125.76,125.76,PKR,279.000000,35087.04,3.97,Exchanged
18,APPL-00004057,20220102,29,198,1,35,256.97,10.00,2,231.27,462.54,INR,83.500000,38622.09,4.09,Kept
19,APPL-00000065,20220103,31,3,24,49,229.63,7.00,3,213.56,640.68,ARS,907.000000,581096.76,4.09,Kept
20,APPL-00000001,20220103,7,1,31,98,159.27,7.00,1,148.12,148.12,ARS,907.000000,134344.84,4.10,Kept
21,APPL-00010006,20220103,1,444,16,56,121.30,15.00,1,103.10,103.10,TWD,31.800000,3278.58,3.90,Kept
22,APPL-00008339,20220103,89,382,11,14,472.55,3.00,1,458.37,458.37,SGD,1.340000,614.22,4.00,Kept
23,APPL-00010296,20220103,1014,453,40,48,409.71,2.00,3,401.52,1204.56,THB,35.200000,42400.51,3.50,Kept
24,APPL-00009431,20220103,282,421,35,111,667.08,0.00,1,667.08,667.08,SEK,10.550000,7037.69,5.00,Kept
25,APPL-00008026,20220103,498,369,12,102,1097.76,0.00,2,1097.76,2195.52,RUB,91.500000,200890.08,3.20,Kept
26,APPL-00000863,20220103,451,33,30,68,1085.37,2.00,1,1063.66,1063.66,BDT,110.000000,117002.60,4.03,Kept
27,APPL-00009585,20220104,659,427,27,89,936.27,15.00,4,795.83,3183.32,CHF,0.880000,2801.32,3.90,Returned
28,APPL-00000032,20220104,338,2,21,34,569.57,7.00,2,529.70,1059.40,ARS,907.000000,960875.80,4.30,Kept
29,APPL-00007598,20220104,92,351,35,112,484.19,7.00,1,450.30,450.30,PLN,3.970000,1787.69,4.70,Kept
30,APPL-00006174,20220104,68,294,15,28,103.13,0.00,1,103.13,103.13,NZD,1.630000,168.10,4.08,Kept
31,APPL-00001836,20220104,56,81,23,28,829.17,0.00,1,829.17,829.17,CLP,960.000000,796003.20,4.40,Kept
32,APPL-00009326,20220104,2,417,4,84,129.65,0.00,1,129.65,129.65,SEK,10.550000,1367.81,3.40,Kept
33,APPL-00004456,20220104,5,221,22,98,171.55,5.00,1,162.97,162.97,EUR,0.920000,149.93,3.10,Kept
34,APPL-00004672,20220104,19,231,20,126,95.84,5.00,1,91.05,91.05,EUR,0.920000,83.77,4.00,Kept
35,APPL-00000002,20220104,1175,1,41,28,29.99,15.00,5,25.49,127.45,ARS,907.000000,115597.15,4.80,Kept
36,APPL-00001186,20220104,1166,46,1,28,82.23,0.00,1,82.23,82.23,EUR,0.920000,75.65,3.98,Kept
